"","yrs","total","category"
"430",2000-01-01,3,"Hgeog"
"431",1999-01-01,1,"Hgeog"
"432",1998-01-01,3,"Hgeog"
"433",1960-01-01,1,"Hgeog"
"434",2024-01-01,7,"Mgeog"
"435",2023-01-01,21,"Mgeog"
"436",2022-01-01,24,"Mgeog"
"437",2021-01-01,110,"Mgeog"
"438",2020-01-01,166,"Mgeog"
"439",2019-01-01,238,"Mgeog"
"440",2018-01-01,197,"Mgeog"
"441",2017-01-01,155,"Mgeog"
"442",2016-01-01,145,"Mgeog"
"443",2015-01-01,143,"Mgeog"
"444",2014-01-01,189,"Mgeog"
"445",2013-01-01,157,"Mgeog"
"446",2012-01-01,65,"Mgeog"
"447",2011-01-01,23,"Mgeog"
"448",2010-01-01,12,"Mgeog"
"449",2009-01-01,7,"Mgeog"
"450",2008-01-01,2,"Mgeog"
"451",2007-01-01,4,"Mgeog"
"452",2006-01-01,4,"Mgeog"
"453",2005-01-01,6,"Mgeog"
"454",2004-01-01,4,"Mgeog"
"455",2003-01-01,6,"Mgeog"
"456",2002-01-01,7,"Mgeog"
"457",2001-01-01,2,"Mgeog"
"458",2000-01-01,8,"Mgeog"
"459",1998-01-01,8,"Mgeog"
"460",1997-01-01,4,"Mgeog"
"461",1996-01-01,3,"Mgeog"
"462",1995-01-01,1,"Mgeog"
"463",1994-01-01,2,"Mgeog"
"464",1993-01-01,5,"Mgeog"
"465",1992-01-01,1,"Mgeog"
"466",1991-01-01,4,"Mgeog"
"467",1990-01-01,2,"Mgeog"
"468",1989-01-01,4,"Mgeog"
"469",1988-01-01,4,"Mgeog"
"470",1987-01-01,1,"Mgeog"
"471",1986-01-01,6,"Mgeog"
"472",1985-01-01,3,"Mgeog"
"473",1984-01-01,4,"Mgeog"
"474",1983-01-01,1,"Mgeog"
"475",1982-01-01,1,"Mgeog"
"476",1981-01-01,2,"Mgeog"
"477",1980-01-01,4,"Mgeog"
"478",1979-01-01,3,"Mgeog"
"479",1978-01-01,6,"Mgeog"
"480",1977-01-01,5,"Mgeog"
"481",1976-01-01,4,"Mgeog"
"482",1975-01-01,2,"Mgeog"
"483",1974-01-01,7,"Mgeog"
"484",1972-01-01,1,"Mgeog"
"485",1970-01-01,2,"Mgeog"
"486",1969-01-01,1,"Mgeog"
"487",1968-01-01,3,"Mgeog"
"488",1967-01-01,2,"Mgeog"
"489",1966-01-01,2,"Mgeog"
"490",1964-01-01,4,"Mgeog"
"491",1963-01-01,6,"Mgeog"
"492",1962-01-01,5,"Mgeog"
"493",1961-01-01,1,"Mgeog"
"494",1960-01-01,1,"Mgeog"
"495",1958-01-01,1,"Mgeog"
"496",1957-01-01,1,"Mgeog"
"497",1956-01-01,1,"Mgeog"
"498",1955-01-01,3,"Mgeog"
"499",1954-01-01,2,"Mgeog"
"500",1953-01-01,2,"Mgeog"
"501",1952-01-01,5,"Mgeog"
"502",1951-01-01,2,"Mgeog"
"503",1950-01-01,2,"Mgeog"
"504",1947-01-01,1,"Mgeog"
"505",1946-01-01,3,"Mgeog"
"506",1932-01-01,1,"Mgeog"
"507",1898-01-01,1,"Mgeog"
"508",1895-01-01,1,"Mgeog"
"509",1858-01-01,1,"Mgeog"
"510",1857-01-01,1,"Mgeog"
"511",1799-01-01,1,"Mgeog"
"512",2024-01-01,3639,"sdoh"
